"","city","lat","lon","x","y"
"1","Tarnow",50.0121,20.985842,458.456713133058,1.75781157781694
"2","Sosnowiec",50.286263,19.104078,322.044188039286,23.113395367579
"3","Tarnowskie Gory",50.435947,18.846025,302.807174383949,38.7677379685474
"4","Poznań",52.406376,16.925167,160.67026253205,252.575373747113
"5","Torun",53.01379,18.598444,271.085054946129,324.456208837142
"6","Zielona Gora",51.935619,15.506186,64.5125335867477,198.592375197101
"7","Szczecin",53.428543,14.552812,0,364.630986050263
"8","Rzeszow",50.041187,21.999121,530.670977253353,11.3109024629539
"9","Kraków",50.049683,19.944544,383.631488091061,0.468801561484725
"10","Olsztyn Poland",53.770226,20.490189,391.403920739234,416.547832020608
"11","Bydgoszcz",53.123482,18.008438,231.007925736569,334.829840902062
"12","Poznań",52.409538,16.931992,161.125081511629,252.939419610298
"13","Wrocław",51.107883,17.038538,172.41794061909,108.392022695825
"14","Rybnik",50.096798,18.542936,283.086063714396,0
"15","Opole",50.671062,17.926126,236.468713875827,61.9259678438348
"16","Elblag",54.156059,19.40449,317.255213642198,454.445286130815
"17","Łódź",51.759445,19.457216,337.268065323371,188.281530077817
"18","Starogard Gdański",53.966187,18.531017,261.311834271,430.127510876111
"19","Kolobrzeg",54.175919,15.583267,67.7841688586884,447.845639163133
"20","Lublin",51.246452,22.568445,557.634215515461,149.087997648878
"21","Chelm",51.143124,23.471199,621.838169496291,144.533189490535
"22","Warsaw",52.237049,21.017532,440.444712175919,249.076484869531
"23","Katowice",50.270908,19.039993,317.573557783805,21.156949320999
"24","Tychy",50.124981,19.009438,316.270425842165,4.8209629014882
"25","Gdańsk",54.372158,18.638306,266.018905201241,475.624995504889
